Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Puerto Rico,100,120,110,120,140,140,160,170,170,160,180,190,220,130,150,150,150,160,170,170,180,190,200,190,200
St Kitts/Nevis,20,40,30,30,30,30,40,40,40,40,40,40,40,40,30,40,40,40,50,50,50,50,50,50,50
St Lucia,20,30,20,30,30,30,30,30,30,40,40,40,40,50,50,50,60,70,70,70,70,70,70,80,80
St Vinc/Grenad,60,70,70,80,80,80,80,80,80,90,90,90,80,70,50,60,60,60,70,70,70,60,60,60,70
Trinidad/Tobago,1350,1380,1400,1400,1410,1440,1460,1490,1530,1560,1580,1630,1670,1670,1690,1730,1780,1850,1910,1910,1880,1870,1870,1880,1910
Turks/Caicos Is,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Is, Brit",10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30
"Virgin Is, US",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,20,20
St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
Curacao,90,90,90,90,90,90,90,100,100,100,110,110,110,110,120,120,130,140,140,150,150,150,150,150,150
Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
Benin,10,20,20,30,30,20,20,20,30,30,30,40,60,70,80,90,100,100,100,110,100,110,110,120,120
Burkina Faso,10,10,20,10,10,20,20,20,20,20,20,30,40,40,40,40,50,50,50,60,60,60,60,60,60
Cameroon,30,50,50,60,70,70,90,110,120,130,140,170,200,220,270,320,360,390,420,450,480,510,540,570,610
Cabo Verde,30,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,30,30,40
Cent Africa Rep,10,10,10,10,10,0,10,10,10,10,10,10,20,20,20,20,30,30,30,30,40,40,30,90,170
Chad,20,40,40,40,40,40,40,40,40,40,40,40,50,50,60,60,70,70,70,70,60,60,60,80,110
"Congo, Rep",20,80,90,100,130,170,180,210,380,710,660,780,820,920,1030,1120,1360,1440,1520,1610,1700,1750,1780,1800,1840
"Congo, Dem Rep",320,340,340,330,310,280,290,290,320,360,630,1170,1650,1930,2470,2850,3240,3450,3910,4270,4810,5150,5760,7230,7890
Cote d'Ivoire,40,50,60,60,60,70,70,80,80,200,230,290,350,400,480,500,540,550,580,600,600,640,640,650,670
Equator Guinea,0,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,20,20,20,20
Gabon,10,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,40,40,50,50,60,50,50,50
Gambia,20,20,30,40,30,40,50,60,70,80,90,90,100,100,100,110,110,120,120,130,130,130,130,130,140
Ghana,1680,1860,1920,2070,2160,2250,2340,2480,2640,2820,3150,3440,3690,3920,4210,4440,4830,5210,5540,5900,6300,6680,7010,7340,7540
Guinea,10,20,20,30,30,30,40,80,90,220,290,410,490,530,660,720,790,830,890,940,960,1050,1080,1110,1120
Guinea-Bissau,10,20,20,20,20,20,20,20,20,20,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20
Liberia,90,100,120,120,110,120,280,470,530,1360,1590,2130,2360,2630,2930,3010,3170,3280,3440,3520,3580,3690,3730,3750,3740
Mali,10,30,20,20,20,30,40,40,40,40,50,50,50,50,60,60,70,80,80,80,80,90,90,90,90
Mauritania,0,10,20,20,20,20,20,20,20,20,10,20,50,50,50,50,50,50,50,60,60,60,60,60,60
Niger,10,10,20,20,20,10,10,20,20,10,10,20,20,20,20,30,30,30,40,30,30,40,40,50,50
Nigeria,1460,1510,1580,1710,1800,1950,2130,2280,2410,2580,2880,3260,3610,4130,4640,5130,5680,6410,7330,8360,9800,11470,12570,13540,14380
Sao Tome/Princ,20,30,30,20,20,20,20,20,20,20,20,10,10,20,20,20,20,20,20,20,20,20,20,20,20
Senegal,200,210,220,220,240,240,250,270,270,280,260,280,340,360,370,380,400,410,430,430,460,450,460,460,470
Sierra Leone,170,180,190,200,260,370,790,970,1000,1570,1950,2450,2700,2930,3320,3450,3620,3770,3910,3990,4050,4140,4280,4300,4300
Togo,10,20,20,20,20,20,20,20,30,30,40,80,180,230,280,320,340,350,370,370,370,380,370,370,370
Angola,400,410,430,420,420,410,430,440,440,450,470,490,510,520,530,530,540,560,560,560,560,560,560,560,570
Botswana,260,390,530,590,670,750,780,840,900,970,1040,1030,1100,1120,1120,1120,1170,1250,1300,1320,1370,1430,1500,1580,1640
Burundi,30,30,30,20,30,30,30,50,100,430,830,1280,1520,1720,1860,1940,2030,2120,2230,2390,2510,2600,2770,3090,3290
Comoros,10,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Djibouti,70,70,70,90,80,80,90,100,100,120,110,120,120,130,130,150,170,170,180,190,200,200,200,210,210
Eritrea,1330,1540,1550,1710,1780,1790,1980,2100,2220,2280,2400,2540,2680,2860,3090,3260,3620,3840,4190,4660,5140,5460,5820,6110,6550
Ethiopia,2620,3030,3190,3480,3640,3820,4290,4940,5620,6110,6390,6990,7450,8210,8970,9630,10620,11280,12190,13130,14000,14820,15400,15980,16540
Kenya,6060,6240,6420,6880,7190,7640,8290,9140,9870,10850,11640,12690,13570,14540,15370,15870,16640,17550,18510,19720,21090,22810,24050,25270,26200
Lesotho,60,60,60,70,70,60,80,80,90,90,100,100,110,110,110,120,130,140,150,150,150,150,150,150,160
Madagascar,150,170,170,180,180,180,180,200,210,220,240,240,250,260,260,270,270,280,290,290,310,320,330,350,360
Malawi,470,510,510,530,540,540,610,640,700,760,820,850,910,980,1020,1080,1210,1290,1370,1400,1490,1540,1570,1700,1740
Mauritius,19020,18890,18740,18610,18530,18580,18950,19380,19820,20310,20930,21900,24140,26690,26980,26780,27140,27590,28070,28660,29300,29650,29670,29930,30150
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,510,550,580,610,630,640,680,720,750,770,790,790,820,870,860,890,940,960,980,1010,1020,1030,1040,1060,1060
Namibia,330,350,370,420,450,470,540,630,660,740,810,860,950,1050,1090,1160,1250,1350,1380,1430,1510,1550,1590,1650,1720
Reunion,70,80,80,90,90,80,100,110,130,140,160,170,200,210,210,210,220,220,220,220,230,250,240,250,250
Rwanda,20,50,50,50,50,50,60,80,130,180,240,340,400,480,620,720,790,860,920,980,1040,1090,1130,1230,1270
St Helena,30,30,40,40,40,30,30,40,40,40,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40
Seychelles,2900,2860,2810,2800,2790,2720,2780,2810,2860,2890,2940,2970,2990,2990,2970,2980,3000,3010,3020,3030,3020,3010,2930,2910,2870
Somalia,2130,2720,3370,3800,3750,3770,4160,4320,4420,4500,4620,5010,5270,5650,6190,6590,7080,7570,8170,8650,9220,9440,9550,9640,9600
South Africa,61810,66130,69370,74760,80650,86820,95140,101440,108410,114150,119490,127570,138260,150690,155950,161590,167630,172170,174930,177390,180480,185460,189270,194540,200240
Eswatini,160,180,200,230,240,230,240,260,260,270,280,290,310,330,340,350,370,380,380,390,380,380,390,400,400
Tanzania,1780,1820,1870,1940,1970,1950,1990,2000,2060,2300,2760,3160,3460,3690,3820,3940,4110,4270,4370,4500,4600,4710,4710,4940,5090
Uganda,1340,1370,1400,1400,1420,1390,1440,1550,1670,1880,2050,2370,2530,2680,2860,3040,3210,3390,3580,3800,4010,4150,4340,4480,4680
Zambia,2980,3100,3210,3310,3450,3510,3800,3990,4240,4540,4900,5280,5710,5970,6170,6350,6660,6970,7170,7310,7480,7560,7610,7680,7830
Zimbabwe,10320,10620,10930,11350,12110,13210,15130,17220,19620,21680,23700,26270,29600,32450,33710,34610,36300,37770,39020,40170,41570,42640,43310,44330,45320
"S & E Afr, nec",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10

