Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,121910,121550,120720,119860,119040,118340,119470,120680,121790,123010,124710,125780,126450,126410,126260,125750,124680,123060,120780,119100,116700,115850,114250,112100,111030
Liechtenstein,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,20,20,20,20,20,20,20,20
Luxembourg,130,140,150,150,150,150,160,160,170,170,190,200,200,200,210,230,240,250,250,250,260,280,280,290,300
Monaco,20,30,30,30,30,40,40,50,50,50,50,50,60,60,70,70,70,80,80,80,90,90,90,90,100
Netherlands,96370,95770,94860,93780,92790,91900,91840,91760,91610,91620,91850,91270,90560,89570,88500,87660,86200,84580,82520,80620,78670,77600,76400,74770,73490
Switzerland,11050,11450,11690,11900,12050,12250,12410,12680,12820,13060,13480,13580,13740,13910,14030,14260,14310,14260,14170,14190,14160,14200,14050,13970,14030
Denmark,9740,9820,9920,9920,9920,10030,10130,10250,10340,10480,10610,10650,10650,10590,10610,10640,10670,10600,10380,10230,10130,10090,9820,9700,9670
Faroe Islands,30,40,40,40,30,40,40,40,40,40,40,40,40,40,40,40,40,40,30,30,20,20,30,30,30
Finland,9420,9480,9480,9450,9420,9360,9370,9420,9430,9490,9600,9560,9560,9530,9520,9520,9460,9330,9230,9210,9050,9080,8790,8640,8530
Greenland,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,50,50,50
Iceland,400,470,520,550,560,590,620,640,670,670,670,690,690,710,700,710,670,640,640,610,570,580,560,560,570
Norway,2880,3260,3470,3690,3990,4230,4260,4320,4360,4380,4430,4330,4350,4310,4350,4400,4450,4450,4430,4360,4390,4380,4340,4220,4190
Sweden,6380,6630,6790,6890,7110,7300,7560,7840,8200,8550,8960,9230,9520,9740,10050,10330,10720,11060,11300,11480,11640,11610,11600,11570,11560
Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,30,30,30,30,30,30
Andorra,10,10,20,30,30,20,20,20,20,30,30,20,30,30,20,20,20,20,20,20,30,30,30,30,30
Gibraltar,460,450,470,480,480,470,500,500,490,490,470,470,480,480,480,480,490,500,500,490,490,480,470,460,450
Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,250360,246410,242460,238330,234040,229850,227710,225360,222950,220550,218040,214970,211270,208130,204690,201680,200350,200670,200350,198510,195760,191500,187030,182080,177840
Malta,55980,55060,54210,53350,52610,51810,51710,51610,51480,51380,51160,50630,50040,49320,48660,47960,47080,46130,45140,44070,43020,42120,41280,40410,39460
Portugal,18660,18700,18480,18270,17990,17780,17870,17980,18030,18160,18280,18310,18390,18460,18470,18550,18720,19030,19170,19140,19130,19080,18870,18700,18610
San Marino,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,10,10,10,10,10,10,10,10,20
Spain,14710,14560,14500,14350,14170,14110,14170,14220,14260,14320,14430,14550,14560,14680,14890,15320,16130,16980,17380,17730,18090,18470,18760,19090,19840
Albania,1200,1290,1390,1440,1530,1620,1690,2070,2180,2270,2410,2500,2610,2760,2880,2950,3010,3130,3330,3460,3530,3670,3770,3830,3910
Bosnia/Herzegov,20570,24950,27260,28560,28650,28780,31590,34000,36220,38400,40580,40490,40240,39930,39730,39440,38860,38190,37500,36750,36060,35770,35280,34890,34530
Bulgaria,2600,2740,2810,2950,3020,3110,3240,3300,3360,3440,3450,3530,3550,3600,3600,3620,3660,3780,3880,3930,4010,4050,4080,4080,4080
Croatia,57640,57730,57650,58030,58210,58690,61930,64750,67160,69500,71810,71110,70240,69370,68490,67580,66130,64810,63300,61820,60170,59170,58000,56890,55820
Cyprus,23310,23300,23200,23030,22810,22720,22680,22620,22560,22450,22350,22050,21810,21580,21350,21150,20910,20660,20410,20100,19690,19400,18950,18620,18310
North Macedonia,49660,49720,49690,49750,49560,49740,50210,50700,51040,51320,51650,51620,51650,51570,51470,51140,50910,50640,50370,49990,49680,49400,48980,48610,47530
